id_replic,replic,html_text,sentiment
1445,Боже! Боже мой! да неужто же мои глаза... Неужто он!,"Боже! Боже мой! <i>— прошептала она, приходя чрез несколько времени в себя, — </i>да неужто же мои глаза... Неужто он!",joy
1446,"Вишь ты, где разорвало! ","Вишь ты, где разорвало! <i>— скажет мальчик, после долгого молчания взглядывая на белое облачко расходящегося дыма, вдруг появившегося высоко над Южной бухтой и сопровождаемого резким звуком разрыва бомбы.</i>",surprise
1447,"Мама, выслушай меня! Умоляю тебя, вдумайся и пойми! Ты только пойми, до какой степени мелка и унизительна наша жизнь. У меня открылись глаза, я теперь всё вижу. И что такое твой Андрей Андреич? Ведь он же неумен, мама! Господи боже мой! Пойми, мама, он глуп!","Мама, выслушай меня! <i>— проговорила Надя. — </i>Умоляю тебя, вдумайся и пойми! Ты только пойми, до какой степени мелка и унизительна наша жизнь. У меня открылись глаза, я теперь всё вижу. И что такое твой Андрей Андреич? Ведь он же неумен, мама! Господи боже мой! Пойми, мама, он глуп!",sadness
1448,Подлец! ,"Подлец! <i>— заревел я на него и вдруг замахнулся, но не опустил руки, — </i>и твой барин подлец! Доложи ему это сейчас! <i>— прибавил я и быстро вышел на лестницу.</i>",anger
1449,"Уйдет! Нет, это невозможно! ","Уйдет! Нет, это невозможно! <i>— думал Николай, продолжая кричать охрипнувшим голосом.</i>",surprise
1450,"Mon pere, Не отвертывайтесь от меня, будемте плакать вместе.","Mon pere, <i>— сказала она. — </i>Не отвертывайтесь от меня, будемте плакать вместе.",sadness
1451,Маменька! позвольте мне на коленях испросить у вас прощение моего проступка!,Маменька! позвольте мне на коленях испросить у вас прощение моего проступка!,sadness
1452,"Где они, бестии, вздыхают? сыскать первую бестию, которая тут вздыхает, и привести ко мне!","Где они, бестии, вздыхают? <i>— неистовствовал он, безнадежно озираясь по сторонам и, видимо, теряя всякую сообразительность, — </i>сыскать первую бестию, которая тут вздыхает, и привести ко мне!",anger
1453,"Прошло ты, мое времечко, не воротишься,","Прошло ты, мое времечко, не воротишься,<i>— всхлипывая, проговорил он и замолк. — </i>Пей, что не пьешь! <i>— вдруг крикнул он своим оглушающим голосом, не отирая слез.</i>",sadness
1454,Аркаша! Аркаша! ,"Аркаша! Аркаша! <i>— закричал Кирсанов, и побежал, и замахал руками...</i>",joy
1455,"Напрасно! Полно тебе, глупенькая: есть о чем плакать! разве не видишь, какой он пустоголовый? Вишь ведь как разбросал всё тут! Плюнула бы на него, право! Эй! перестань, говорю.","Напрасно! <i>— сказал Авдей, выпив всю рюмку и подошедши к ней. — </i>Полно тебе, глупенькая: есть о чем плакать! разве не видишь, какой он пустоголовый? Вишь ведь как разбросал всё тут! Плюнула бы на него, право! Эй! перестань, говорю.",disgust
1456,"Ты говоришь унизительное... не говори этого. Эти слова не имеют для меня смысла, ","Ты говоришь унизительное... не говори этого. Эти слова не имеют для меня смысла, <i>— сказала она дрожащим голосом. Ей не хотелось теперь, чтобы он говорил неправду. Ей оставалась одна его любовь, и она хотела любить его. — </i>Ты пойми, что для меня с того дня, как я полюбила тебя, все, все переменилось. Для меня одно и одно — это твоя любовь. Если она моя, то я чувствую себя так высоко, так твердо, что ничто не может для меня быть унизительным. Я горда своим положением, потому что... горда тем... горда... <i>— Она не договорила, чем она была горда. Слезы стыда и отчаяния задушили ее голос. Она остановилась и зарыдала.</i>",sadness
1457,"Прощай, старик, меня ждет мать к обеду, Как жаль, что я ее не предуведомил! Очень будет беспокоиться... Но после обеда я тотчас к тебе, на весь день, на весь вечер, и столько тебе расскажу, столько расскажу! И Перезвона приведу, а теперь с собой уведу, потому что он без меня выть начнет и тебе мешать будет; до свиданья!","Прощай, старик, меня ждет мать к обеду, <i>— проговорил он скороговоркой. — </i>Как жаль, что я ее не предуведомил! Очень будет беспокоиться... Но после обеда я тотчас к тебе, на весь день, на весь вечер, и столько тебе расскажу, столько расскажу! И Перезвона приведу, а теперь с собой уведу, потому что он без меня выть начнет и тебе мешать будет; до свиданья!",sadness
1458,"Миленькие, славненькие, голубчики, не буду! Ай, ай, простите!","Миленькие, славненькие, голубчики, не буду! Ай, ай, простите!",sadness
1459,Никогда! Никогда! Не подходите! ,"Никогда! Никогда! Не подходите! <i>— с испугом, почти с ужасом сказала она, вытянув обе руки и зонтик между ним и собой, и остановилась как вкопанная, окаменелая, не дыша, в грозной позе, с грозным взглядом, вполуоборот.</i>",fear
1460,Прек-ра-сен! ,Прек-ра-сен! <i>— отвечал Фалалей с заглушенными рыданиями.</i>,sadness
1461,"Отвяжись ты, нечистая сила! ","Отвяжись ты, нечистая сила! <i>— рявкнул он со злобой на жену, когда та спросила, отчего он такой хмурый.</i>",anger
1462,"Мучь меня, казни меня, срывай на мне злобу, Ты имеешь полное право! Я знал, что я не люблю тебя, и погубил тебя. Да, «я оставил мгновение за собой»; я имел надежду... давно уже... последнюю... Я не мог устоять против света, озарившего мое сердце, когда ты вчера вошла ко мне, сама, одна, первая. Я вдруг поверил... Я, может быть, верую еще и теперь.","Мучь меня, казни меня, срывай на мне злобу, <i>— вскричал он в отчаянии. — </i>Ты имеешь полное право! Я знал, что я не люблю тебя, и погубил тебя. Да, «я оставил мгновение за собой»; я имел надежду... давно уже... последнюю... Я не мог устоять против света, озарившего мое сердце, когда ты вчера вошла ко мне, сама, одна, первая. Я вдруг поверил... Я, может быть, верую еще и теперь.",sadness
1463,"Наденька! какое, однако ж, у тебя тело, так и тает!","Наденька! какое, однако ж, у тебя тело, так и тает!",joy
1464,"Простите меня, что я вас разбудил. Я не ожидал, что вы так скоро уснули, а я отыскал вас и хочу с вами говорить.","Простите меня, что я вас разбудил. Я не ожидал, что вы так скоро уснули, а я отыскал вас и хочу с вами говорить.",sadness
1465,"Спасибо тебе, брат, Спасибо! Не забуду я тебе этого. Да только приюта я не стою. Испортил я свою жизнь и не служил мысли, как следует...","Спасибо тебе, брат, <i>— продолжал он. — </i>Спасибо! Не забуду я тебе этого. Да только приюта я не стою. Испортил я свою жизнь и не служил мысли, как следует...",sadness
1466,"Жалею весьма и весьма, что нахожу вас в таком положении, Если б знал о вашем нездоровье, зашел бы раньше. Но, знаете, хлопоты!.. Имею к тому же весьма важное дело по моей адвокатской части в сенате. Не упоминаю уже о тех заботах, которые и вы угадаете. Ваших, то есть мамашу и сестрицу, жду с часу на час...","Жалею весьма и весьма, что нахожу вас в таком положении, <i>— начал он снова, с усилием прерывая молчание. — </i>Если б знал о вашем нездоровье, зашел бы раньше. Но, знаете, хлопоты!.. Имею к тому же весьма важное дело по моей адвокатской части в сенате. Не упоминаю уже о тех заботах, которые и вы угадаете. Ваших, то есть мамашу и сестрицу, жду с часу на час...",sadness
1467,Куда это вы? ,Куда это вы? <i>— тревожно спросила Грушенька.</i>,fear
1468,"А то, что если ты хоть раз про Настасью Филипповну какое слово молвишь, то, вот тебе бог, тебя высеку, даром что ты с Лихачевым ездил, ","А то, что если ты хоть раз про Настасью Филипповну какое слово молвишь, то, вот тебе бог, тебя высеку, даром что ты с Лихачевым ездил, <i>— вскрикнул Рогожин, крепко схватив его за руку.</i>",anger
1469,"Ни ложки, ни плошки не оставили! Полон дом серебра был, самовар серебряный был, сколько брильянтов, окромя всего прочего, — все припрятали! Плакали наши денежки! дай бог двадцать копеек за рубль получить!","Ни ложки, ни плошки не оставили! Полон дом серебра был, самовар серебряный был, сколько брильянтов, окромя всего прочего, — все припрятали! Плакали наши денежки! дай бог двадцать копеек за рубль получить!",sadness
1470," Мне руку подал на прощанье, Значит, ничего, не сердится..."," Мне руку подал на прощанье, <i>— проговорил Жестяков, очень довольный. — </i>Значит, ничего, не сердится...",joy
1471,Помилуй! да нам без него еще лучше будет! Нашла об ком жалеть... об дураке!,"Помилуй! <i>— сказала она, — </i>да нам без него еще лучше будет! Нашла об ком жалеть... об дураке!",disgust
1472,Не казните меня! ,Не казните меня! <i>— едва шептала она.</i>,fear
1473,"Ах! не мучьте меня, говорите скорей! ","Ах! не мучьте меня, говорите скорей! <i>— сказала она.</i>",fear
1474,"Lise, у меня серьезное горе! Я сейчас ворочусь, но у меня большое, большое горе!","Lise, у меня серьезное горе! Я сейчас ворочусь, но у меня большое, большое горе!",sadness
1475,Нет! нет! будем говорить! Он любил ее или нет?,"Нет! нет! будем говорить! <i>— сказала я, и слезы задрожали у меня в голосе. — </i>Он любил ее или нет?",sadness
1476,О господи! О смерть моя! О господи! ,О господи! О смерть моя! О господи! <i>— громче застонал солдат.</i>,sadness
1477,"Да, прости меня, я тебя очень обидела, ","Да, прости меня, я тебя очень обидела, <i>— повторила Лиза и, бросаясь на грудь Гловацкой, зарыдала, как маленький ребенок. — </i>Я скверная, злая и не стою твоей любви, <i>— лепетала она, прижимаясь к плечу подруги.</i>",sadness
1478,Ну так вот же твои пятьдесят тысяч франков! ,"Ну так вот же твои пятьдесят тысяч франков! <i>— Она размахнулась и пустила их в меня. Пачка больно ударила мне в лицо и разлетелась по полу. Совершив это, Полина выбежала из комнаты.</i>",anger
1479,"Ах, что я наделал! Все сгубил! Слава богу, что Штольц уехал: она не успела сказать ему, а то бы хоть сквозь землю провались! Любовь, слезы — к лицу ли это мне? И тетка Ольги не шлет, не зовет к себе: верно, она сказала... Боже мой!..","Ах, что я наделал! <i>— говорил он. — </i>Все сгубил! Слава богу, что Штольц уехал: она не успела сказать ему, а то бы хоть сквозь землю провались! Любовь, слезы — к лицу ли это мне? И тетка Ольги не шлет, не зовет к себе: верно, она сказала... Боже мой!..",sadness
1480,"Боже  сохрани! если  ей скажет кто-нибудь другой, а не мы сами... Ах, скорее бы! Уехать мне разве на время?..","Боже  сохрани! <i>— перебила  Вера, вздрогнув, — </i>если  ей скажет кто-нибудь другой, а не мы сами... Ах, скорее бы! Уехать мне разве на время?..",fear
1481,"Опять эта собака здесь, Брысь, брысь!","Опять эта собака здесь, <i>— проворчала в ответ старуха и, заметив, что Фифи сделала два нерешительные шага в ее направлении, воскликнула: — </i>Брысь, брысь!",disgust
1482,Господи! прости наши прегрешения! ,Господи! прости наши прегрешения! <i>— вдруг раздалось в соседней комнате.</i>,sadness
1483,"На мозоль наступил! А, чтоб тебя раздавило!","На мозоль наступил! А, чтоб тебя раздавило!",anger
1484,"Пройдусь, теперь прекрасно!","Пройдусь, <i>— сказал он швейцару, — </i>теперь прекрасно!",joy
1485,"Ну хорошо, хорошо. О! какой ты!","Ну хорошо, хорошо. О! какой ты!",joy
1486,"О, мне прекрасно! Так хорошо, так хорошо, что лучшего и не желаю, ","О, мне прекрасно! Так хорошо, так хорошо, что лучшего и не желаю, <i>— говорила Вера Ефремовна, как всегда испуганно глядя своими огромными добрыми круглыми глазами на Нехлюдова и вертя желтой тонкой-тонкой жилистой шеей, выступающей из-за жалких, смятых и грязных воротничков кофточки.</i>",joy
1487,Очень приятно! не угодно ли пожаловать в кабинет!,"Очень приятно! <i>— отвечал Порфирий Петрович, — </i>не угодно ли пожаловать в кабинет!",joy
1488,"Доволен, сэр, доволен: тут есть логика, почему не объясняют!","Доволен, сэр, доволен: тут есть логика, почему не объясняют!",joy
1489,Ба! Ардальон! здорово!,Ба! Ардальон! здорово!,joy
1490,Lilas de perse ,Lilas de perse <i>— это мило: я люблю этот запах!</i>,joy
1491,"О, я молодец! Мне это еще раньше вас говорили, капитане.","О, я молодец! Мне это еще раньше вас говорили, капитане.",joy
1492,"Нет, уверяю вас! Я очень счастлив, что нахожу такого опытного и достойного руководителя!","Нет, уверяю вас! Я очень счастлив, что нахожу такого опытного и достойного руководителя!",joy
1493,Что это у вас? свежая икра!,"Что это у вас? <i>— радостно произнес он, вдруг уставив глаза на стол, — </i>свежая икра!",joy
1494,Да как же вы найдете?,Да как же вы найдете?,surprise
1495,Что же это?,Что же это?,surprise
1496,Зачем? ,Зачем? <i>— с удивлением спросил я.</i>,surprise
1497,"Ах, что это? Зачем? ","Ах, что это? Зачем? <i>— проговорила она и тем странным, всегда особенно сильно действующим на Нехлюдова, косящим взглядом посмотрела ему в глаза.</i>",surprise
1498,Нам? ,Нам? <i>— удивился Горданов.</i>,surprise
1499,Так без быка и отелилась? ,Так без быка и отелилась? <i>— удивляется Соничка Корочкина.</i>,surprise
1500,Зачем я в Чермашню поеду? ,Зачем я в Чермашню поеду? <i>— удивился Иван Федорович.</i>,surprise
1501,На что ж это вам? ,На что ж это вам? <i>— изумилась Надежда Петровна.</i>,surprise
1502,Как? Ведь ты член управы?,Как? Ведь ты член управы?,surprise
1503,"А для чего вы, Авель, вокруг камня ходите?","А для чего вы, Авель, вокруг камня ходите?",neutral
1504,"Ах, боже мой, да я-то тут при чем? ","Ах, боже мой, да я-то тут при чем? <i>— спросила Ольга Михайловна.</i>",surprise
1505,Как так? Как это можно? ,Как так? Как это можно? <i>— удивилась Лизавета Прокофьевна.</i>,surprise
1506,"Вы, кажется, про Шенграбенское дело рассказывали? Вы были там?","Вы, кажется, про Шенграбенское дело рассказывали? Вы были там?",neutral
1507,Неужели все это правда? неужто и теперь подобные факты случаться могут? ,"Неужели все это правда? неужто и теперь подобные факты случаться могут? <i>— удивилась Поликсена Ивановна, прискорбно покачивая головой.</i>",surprise
1508,Она письмо получила? ,Она письмо получила? <i>— задумчиво переспросил Раскольников.</i>,neutral
1509,"Я удивляюсь тебе, друг мой!..","Я удивляюсь тебе, друг мой!..",surprise
1510,"Во-от? Вы это подумали? да неужели? Ну, не сказал ли я, что между нами есть какая-то точка общая, а?","Во-от? Вы это подумали? <i>— с удивлением спросил Свидригайлов, — </i>да неужели? Ну, не сказал ли я, что между нами есть какая-то точка общая, а?",surprise
1511,"Обои-то, кажется, новенькие поставить сбирались?","Обои-то, кажется, новенькие поставить сбирались?",neutral
1512,"Как же вы живете, любезные, коли у вас даже настоящей земли нет? ","Как же вы живете, любезные, коли у вас даже настоящей земли нет? <i>— удивился я, когда они пересказали мне свои обстоятельства.</i>",surprise
1513,Как? Что? Да ты в уме али нет?,Как? Что? Да ты в уме али нет?,surprise
1514,"Помилуйте, как же это можно?","Помилуйте, как же это можно?",surprise
1515,"Ах, это опять вы? ","Ах, это опять вы? <i>— сказала она.</i>",surprise
1516,"Как, это ты, Федосей? мне не нужно спутников... я знаю свою дорогу... разве я звал тебя?.. говори...","Как, это ты, Федосей? <i>— воскликнул удивленный юноша, приближаясь к нему и стараясь различить его черты; </i>но зачем ты здесь? <i>— продолжал он строго... — </i>мне не нужно спутников... я знаю свою дорогу... разве я звал тебя?.. говори...",surprise
1517,"Да, здесь мух нет, а когда вы приедете?","Да, здесь мух нет, <i>— заметила она простодушно, — </i>а когда вы приедете?",neutral
1518,"Как? что такое? не способен, это что еще?.. Я? я не способен к развитию? Да вы позвольте, Дарья Николаевна, позвольте, с которых же это пор наконец? и что это такое значит? Вас просто кто-то пришел, увидел, победил?","Как? что такое? не способен, это что еще?.. Я? я не способен к развитию? Да вы позвольте, Дарья Николаевна, позвольте, с которых же это пор наконец? и что это такое значит? Вас просто кто-то пришел, увидел, победил?",surprise
1519,Обыск? а! Идут? Ну так что ж такое?,Обыск? а! Идут? Ну так что ж такое?,surprise
1520,"А чем она странная? И вы туда же! Эх вы, ученый, ученый!","А чем она странная? И вы туда же! Эх вы, ученый, ученый!",surprise
1521,"О чем ты размышляешь, дитя мое?","О чем ты размышляешь, дитя мое?",neutral
1522,"Что это с вами, Иван Самойлыч? верно, вы простудились?","Что это с вами, Иван Самойлыч? <i>— спросила Наденька, — </i>верно, вы простудились?",surprise
1523,А! так это ты Видоплясов?,А! так это ты Видоплясов?,surprise
1524,"Вы для чего звали меня сегодня, Lise?","Вы для чего звали меня сегодня, Lise?",neutral
1525,Как? Варвара Николаевна? эта...,"Как? Варвара Николаевна? <i>— повторил я, — </i>эта...",surprise
1526,"Да откуда же вы, что вы не знаете того, что уже знают все кучера в городе?","Да откуда же вы, что вы не знаете того, что уже знают все кучера в городе?",surprise
1527,Что-о! в другой монастырь?,Что-о! в другой монастырь?,surprise
1528,И это тебя удивляет? Ты скромный юноша. Но она тебя любит. На этот счет ты можешь быть спокоен.,И это тебя удивляет? Ты скромный юноша. Но она тебя любит. На этот счет ты можешь быть спокоен.,neutral
1529,Неужто вам это нравится? ,Неужто вам это нравится? <i>— говорили ему.</i>,surprise
1530,"Здравствуйте, Где вы были?","Здравствуйте, <i>— холодно говорил зоолог. — </i>Где вы были?",neutral
1531,Как? статистик? Браво!,Как? статистик? Браво!,joy
1532,"А зачем же, Евгения Петровна, это должно быть заметно?","А зачем же, Евгения Петровна, это должно быть заметно?",neutral
1533,"Удивительно, у-ди-ви-тель-но!","Удивительно, <i>— говорит он надорванным голосом, — </i>у-ди-ви-тель-но!",surprise
1534,Помилуйте! да что же он там прочтет?,Помилуйте! да что же он там прочтет?,surprise
1535,"А намеднись, просто даже удивил! «Мама, говорит, купи мне ризу!» Я спрашиваю: зачем тебе, душенька? — «А я, говорит, дома каждый день обедню служить буду!»","А намеднись, <i>— хвасталась Анна Михайловна, — </i>просто даже удивил! «Мама, говорит, купи мне ризу!» Я спрашиваю: зачем тебе, душенька? — «А я, говорит, дома каждый день обедню служить буду!»",joy
1536,Как?.. Разве у вас приказы сперва сочиняются?,Как?.. Разве у вас приказы сперва сочиняются?,surprise
1537,Что за странный человек?! Неужели он иностранец? Он так бойко говорит по-русски.,"Что за странный человек?! <i>— обратился я к Фустову, который успел уже приняться за токарный станок. — </i>Неужели он иностранец? Он так бойко говорит по-русски.",surprise
1538,Что ты за вздор говоришь: где ты мог видеть Ольгу?,Что ты за вздор говоришь: где ты мог видеть Ольгу?,disgust
1539,У тебя питье какое-нибудь дома есть?,У тебя питье какое-нибудь дома есть?,neutral
1540,Что с вами? ,"Что с вами? <i>— проговорил он, хватая его за руку.</i>",surprise
1541,Что ты! В самом деле? На ком? ,Что ты! В самом деле? На ком? <i>— с участием сказал Обломов.</i>,surprise
1542,"Помилуй, любезный друг! чего же еще нужно?","Помилуй, любезный друг! чего же еще нужно?",surprise
1543,"Ах, Паша, неужто это правда? Неужто ты никогда, никогда не любил?","Ах, Паша, неужто это правда? Неужто ты никогда, никогда не любил?",surprise
1544,"И тебе не стыдно теперь, сестра? ","И тебе не стыдно теперь, сестра? <i>— спросил Раскольников.</i>",disgust
1545,"Незнаком, а слыхал и видал. Неужто это она вам три тысячи дала? Так и отсыпала? ","Незнаком, а слыхал и видал. Неужто это она вам три тысячи дала? Так и отсыпала? <i>— недоверчиво глядел Петр Ильич.</i>",surprise
1546,"Чудо, красавица лошадь! Что возьмешь за нее? ","Чудо, красавица лошадь! Что возьмешь за нее? <i>— спросил Оленин.</i>",joy
1547,"Вы, вероятно, смолоду были тоже гастрономом?","Вы, вероятно, смолоду были тоже гастрономом?",neutral
1548,"Зеленый? Ну давай Зеленого: я и не знаю такого. А это кто в очках? Должно быть, Горчаков, смекаю?","Зеленый? Ну давай Зеленого: я и не знаю такого. А это кто в очках? Должно быть, Горчаков, смекаю?",neutral
1549,"В народ... Куда же идти, как не в народ?","В народ... Куда же идти, как не в народ?",neutral
1550,Удивительно! бесподобно!,Удивительно! бесподобно!,joy
1551,"Вы не знакомы с мсьё Корепановым? хотите, я вас друг другу представлю?","Вы не знакомы с мсьё Корепановым? <i>— спросила меня княжна, заметив, что я вглядываюсь в него, — </i>хотите, я вас друг другу представлю?",neutral
1552,Папенька скоро приедет?,Папенька скоро приедет?,neutral
1553,"Всё равно подадут, не для тебя, так для нас, Да постой, ты обедал аль нет?","Всё равно подадут, не для тебя, так для нас, <i>— сиял Федор Павлович. — </i>Да постой, ты обедал аль нет?",joy
1554,"Благодарность! Благодарность! Слово, изобретенное для того, чтоб обманывать честных людей!.. слово, превращенное в чувство! — о, премудрость небесная!.. как легко тебе из ничего сделать святейшее чувство!.. нет, лучше издохнуть с голода и жажды в какой-нибудь пустыне, чем быть орудием безумца и лизать руку, кидающую мне остатки пира... — о, благодарность!..","Благодарность! <i>— продолжал он с горьким смехом. — </i>Благодарность! Слово, изобретенное для того, чтоб обманывать честных людей!.. слово, превращенное в чувство! — о, премудрость небесная!.. как легко тебе из ничего сделать святейшее чувство!.. нет, лучше издохнуть с голода и жажды в какой-нибудь пустыне, чем быть орудием безумца и лизать руку, кидающую мне остатки пира... — о, благодарность!..",sadness
1555,Как ты смел? ,Как ты смел? <i>— повторяет батюшка.</i>,anger
1556,"А! тут любишь, а не привык! ","А! тут любишь, а не привык! <i>— холодно заметила Лизавета Александровна.</i>",neutral
1557,"Общество слишком ко мне снисходительно! Конечно, все, что от меня зависит... я готов жертвовать жизнью... но, во всяком случае, милая Надежда Петровна, вы мне позвольте уйти с приятною мыслью... или, лучше сказать, с надеждою... что вы не захотите меня огорчить, лишая общество, так сказать, его лучшего украшения!","Общество слишком ко мне снисходительно! Конечно, все, что от меня зависит... я готов жертвовать жизнью... но, во всяком случае, милая Надежда Петровна, вы мне позвольте уйти с приятною мыслью... или, лучше сказать, с надеждою... что вы не захотите меня огорчить, лишая общество, так сказать, его лучшего украшения!",sadness
1558,"Я хороший сон видел, господа, ","Я хороший сон видел, господа, <i>— странно как-то произнес он, с каким-то новым, словно радостью озаренным лицом.</i>",joy
1559,"Мой товарищ?.. О ком, ваша светлость, изволите говорить?","Мой товарищ?.. О ком, ваша светлость, изволите говорить?",neutral
1560,Вот и опять пошло легко! ,Вот и опять пошло легко! <i>— отозвался Алексей Степаныч.</i>,joy
1561,Господи! да откуда у тебя всё такие новости?,Господи! да откуда у тебя всё такие новости?,surprise
1562,Помилуйте! зачем же-с?,Помилуйте! зачем же-с?,surprise
1563,"Да, помилуйте, где же тут пятнышко? Ведь, кажется, вовсе нету здесь пятнышка?","Да, помилуйте, где же тут пятнышко? Ведь, кажется, вовсе нету здесь пятнышка?",surprise
1564,"Ну вот и чудак! Я чудак да не красен, а вы не чудак да спламенели не знай чего. Пойдемте-ка лучше закусывать.","Ну вот и чудак! Я чудак да не красен, а вы не чудак да спламенели не знай чего. Пойдемте-ка лучше закусывать.",surprise
1565,А прогоны и порционные вам выдали?,А прогоны и порционные вам выдали?,neutral
1566,"Наконец, мать моя! Что за наряды! Зачем это?.. кого прельщать?.. А какова погода?","Наконец, мать моя! <i>— сказала графиня. — </i>Что за наряды! Зачем это?.. кого прельщать?.. А какова погода?",surprise
1567,"Отлично. Значит, мы сейчас догоним обозы, а потом и к молокану.","Отлично. Значит, мы сейчас догоним обозы, а потом и к молокану.",neutral
1568,"Вы встретили его ночью, и он сделал вам такое предложение? Да неужто вы не видите, что вы кругом оплетены их сетью!","Вы встретили его ночью, и он сделал вам такое предложение? Да неужто вы не видите, что вы кругом оплетены их сетью!",surprise
1569,Их все хвалят! ,"Их все хвалят! <i>— ехидно произносит Анфиса Петровна, переполняясь оцтом и желчью.</i>",disgust
1570,Угодил в самое рыло! ,"Угодил в самое рыло! <i>— повторил Столпников, которому, очевидно, понравилось это выражение.</i>",joy
1571,"Вот и он, вот и он! Присоединяйся к нам, садись, кофейку — постный ведь, постный, да горячий, да славный! Коньячку не приглашаю, ты постник, а хочешь, хочешь? Нет, я лучше тебе ликерцу дам, знатный! — Смердяков, сходи в шкаф, на второй полке направо, вот ключи, живей!","Вот и он, вот и он! <i>— завопил Федор Павлович, вдруг страшно обрадовавшись Алеше. — </i>Присоединяйся к нам, садись, кофейку — постный ведь, постный, да горячий, да славный! Коньячку не приглашаю, ты постник, а хочешь, хочешь? Нет, я лучше тебе ликерцу дам, знатный! — Смердяков, сходи в шкаф, на второй полке направо, вот ключи, живей!",joy
1572,Вот так маскарад!,Вот так маскарад!,surprise
1573,Наша красоточка Музочка скоро станет замужней дамой!,Наша красоточка Музочка скоро станет замужней дамой!,joy
1574,Необыкновенная вещь! удивительная вещь! ,"Необыкновенная вещь! удивительная вещь! <i>— во все горло кричал он, еще издали махая только что полученным нумером газеты.</i>",joy
1575,"Каких подлец? Ты что это, тоже?.. Как ты это смеешь говорить? А знаешь, я тебя за это... тоже этаким лампопо́ угощу?","Каких подлец? Ты что это, тоже?.. Как ты это смеешь говорить? А знаешь, я тебя за это... тоже этаким лампопо́ угощу?",surprise
1576,"Ах, Ирина! что это за девушка! Она вся самоотвержение, вся благородство.","Ах, Ирина! что это за девушка! Она вся самоотвержение, вся благородство.",joy
1577,"Еще бы! такое покровительство хоть кого выведет к всемирной славе, тем более Фебуфиса. Но как он это обделал!","Еще бы! такое покровительство хоть кого выведет к всемирной славе, тем более Фебуфиса. Но как он это обделал!",joy
1578,Пожить бы в этаком замке! И как хорошо написано! Век бы сидел да слушал!,Пожить бы в этаком замке! <i>— вздохнул Перегарин. — </i>И как хорошо написано! Век бы сидел да слушал!,joy
1579,"Полезай! полезай, фанфаронишка! Сгорит! О, пр-р-роклятый!","Полезай! <i>— заревел Фердыщенко, бросаясь к Гане в решительном исступлении и дергая егоза рукав: — </i>полезай, фанфаронишка! Сгорит! О, пр-р-роклятый!",anger
1580,"Ну, попался! ","Ну, попался! <i>— воскликнул Прокоп, и как-то особенно при этом свистнул.</i>",joy
1581,"Видишь, Авдей, кроме передней какая у тебя еще славная комната! ","Видишь, Авдей, кроме передней какая у тебя еще славная комната! <i>— сказал Иван Савич.</i>",joy
1582,Господи! а какой был прежде белый да румяный!,Господи! а какой был прежде белый да румяный!,surprise
1583,"Вот что я сделаю, я вас теперь, моя милая, с собой возьму, а от меня вас уже отвезут к вашему семейству; хотите ехать со мной?","Вот что я сделаю, я вас теперь, моя милая, с собой возьму, а от меня вас уже отвезут к вашему семейству; хотите ехать со мной?",neutral
1584,Давай лучше спать! ,Давай лучше спать! <i>— с досадой проговорил Аркадий.</i>,sadness
1585,И какой еще п-п-полк был! ,"И какой еще п-п-полк был! <i>— воскликнул Илья Петрович, весьма довольный, что его так приятно пощекотали, но все еще будируя.</i>",joy
1586,"Ишь ведь! Кабы так, давно бы наши бабы ее оттоле бадьями вытащили, ","Ишь ведь! Кабы так, давно бы наши бабы ее оттоле бадьями вытащили, <i>— пошутил Федор.</i>",joy
1587,"Да. Утешил ты меня, Александр Давидыч. Спасибо... Я ожил.","Да. Утешил ты меня, Александр Давидыч. Спасибо... Я ожил.",joy
